ratio,var,type,eps
34.417064436387804,23665.4077246678,tp,2.0
63.499783461167425,43662.88324253034,tp,2.0
39.741857467933016,27326.771649935006,tp,2.0
38.84852529760909,26712.510370233114,tp,2.0
46.908120821364804,32254.34310027651,tp,2.0
29.9191365231907,20572.601881836148,tp,2.0
61.71305530989855,42434.31680650929,tp,2.0
33.6615225212638,23145.89196214443,tp,2.0
29.320890538302805,20161.24387138802,tp,2.0
51.09260899578615,35131.62564567669,tp,2.0
49.03139242322061,33714.31910319792,tp,2.0
45.17971954701558,31065.882621756897,tp,2.0
38.794915136848985,26675.647658861617,tp,2.0
41.15582536877783,28299.025601021756,tp,2.0
69.49782452024452,47787.17709317856,tp,2.0
42.241336162661945,29045.43021011547,tp,2.0
77.08002096078884,53000.74696476517,tp,2.0
63.90327616393272,43940.32757083783,tp,2.0
58.6166647105786,40305.21755857163,tp,2.0
60.219781401442006,41407.5315048881,tp,2.0
56.653462255226785,38955.30619010381,tp,2.0
79.79478484307651,54867.437084989804,tp,2.0
46.490311913440166,31967.054851875495,tp,2.0
31.613938521285174,21737.959269350074,tp,2.0
56.83443399218867,39079.743588004494,tp,2.0
44.188650845657826,30384.41703819041,tp,2.0
68.19711516944176,46892.80049185835,tp,2.0
50.882745293271434,34987.32193564359,tp,2.0
70.71849772344908,48626.52029474082,tp,2.0
45.68703386806697,31414.715401334426,tp,2.0
38.08808488025084,26189.626364237734,tp,2.0
49.85650622217315,34281.672966498845,tp,2.0
43.49763588640626,29909.27044964977,tp,2.0
51.15444891871774,35174.14719752325,tp,2.0
43.11126050825149,29643.5961102329,tp,2.0
52.29991688197362,35961.7787643031,tp,2.0
30.155844965842974,20735.364217874157,tp,2.0
33.10412757104312,22762.62340113674,tp,2.0
28.988896164734943,19932.96228080377,tp,2.0
47.77432234950174,32849.94916577866,tp,2.0
46.5967673344582,32040.254323827827,tp,2.0
55.378800737831114,38078.84025629745,tp,2.0
30.936746763217073,21272.31760801412,tp,2.0
55.998542883285666,38504.97917303888,tp,2.0
60.724163192228424,41754.34785669871,tp,2.0
47.11269268138787,32395.008103399818,tp,2.0
31.094697310052418,21380.925478917852,tp,2.0
37.62878857071539,25873.811096155205,tp,2.0
43.03066123823747,29588.175503669612,tp,2.0
49.89557528663669,34308.53712110041,tp,2.0
35.306793882100315,24277.191746409288,tp,2.0
62.98729365095165,43310.49176138266,tp,2.0
49.170775377929935,33810.1597713979,tp,2.0
45.59136526225125,31348.933016922645,tp,2.0
49.90413397171393,34314.42213120388,tp,2.0
55.77703761445361,38352.670642781704,tp,2.0
52.538834621364856,36126.06022781373,tp,2.0
50.160748396836176,34490.87195625428,tp,2.0
39.65322267525762,27265.825763305667,tp,2.0
56.09695347551314,38572.646965967404,tp,2.0
57.50955789796232,39543.963380030444,tp,2.0
46.42638584597388,31923.09885285006,tp,2.0
41.65365622960558,28641.337488811783,tp,2.0
45.18063253245711,31066.510396759626,tp,2.0
43.23162466226508,29726.359321645978,tp,2.0
18.832423568823682,12949.30260608337,tp,2.0
40.14622460955191,27604.817248349034,tp,2.0
44.898574429705,30872.565325819243,tp,2.0
50.262433896211746,34560.79159762454,tp,2.0
42.768162800781596,29407.679791696177,tp,2.0
67.61044845889522,46489.40446924769,tp,2.0
44.999532691672286,30941.984913798504,tp,2.0
53.123781976432085,36528.27400989609,tp,2.0
36.795090127624626,25300.554373123818,tp,2.0
54.12781347142298,37218.65289858034,tp,2.0
45.03490506565388,30966.307198867617,tp,2.0
43.27788935937401,29758.171242222896,tp,2.0
56.218519304748455,38656.2364574407,tp,2.0
50.8761333896441,34982.77554571349,tp,2.0
47.90719719131992,32941.314811265074,tp,2.0
60.41650214992393,41542.798030286605,tp,2.0
56.1372605215057,38600.36236509315,tp,2.0
31.401453093318587,21591.852843054654,tp,2.0
38.968967687936505,26795.327377468002,tp,2.0
44.87635965631731,30857.29029645983,tp,2.0
40.88570203363959,28113.28695751226,tp,2.0
45.28201476440868,31136.22150938532,tp,2.0
65.13545764519019,44787.58394270646,tp,2.0
46.51393693896453,31983.299580201267,tp,2.0
46.410161012307945,31911.94254680661,tp,2.0
30.79760761119192,21176.64458019893,tp,2.0
34.29555509954161,23581.857077745713,tp,2.0
48.54872336834129,33382.432576358566,tp,2.0
29.59573237259904,20350.22698702932,tp,2.0
74.44711260420628,51190.341261066205,tp,2.0
43.48970254134684,29903.815427598176,tp,2.0
58.92711699451763,40518.68666172687,tp,2.0
69.67774768726592,47910.893487252346,tp,2.0
46.304441546700296,31839.249122802856,tp,2.0
49.05158059342005,33728.20062641347,tp,2.0
45.48016510996156,31272.47103545864,tp,2.0
53.42061830160539,36732.38068714342,tp,2.0
48.178320149702984,33127.740802520435,tp,2.0
23.9315995866484,16455.530737326484,tp,2.0
30.137476222237343,20722.733744766243,tp,2.0
37.319844094036846,25661.37877153335,tp,2.0
